Id,Title,Location,Salary,Summary
02439c0627b4b18f,[경력] 백엔드 개발자 - 패스트캠퍼스FCL,패스트캠퍼스 서울,,"그때의 환경에 유동적으로 대응해 나갈 예정으로 아래의 내용은 추후 변경될 수 있습니다. • React / Redux • React Native • NodeJS / Express, Koa • NextJS • MySQL..."
29e80c7685907ed5,"프론트엔드, 백엔드, Java·JSP 신입,경력사원",틴텍씨앤씨 서울 강서구,,"담당업무] 웹 개발, Vuejs, React, 자바 Spring Boot... javascript, jquery를 이용한 개발 가능 ※우대사항 - React/Vue.js 중 1개 이상 사용 경험자 -웹표준, 웹접근성, 크로스 브라..."
9801eb995941c2da,[프리랜서] 자바스크립트 개발자,북틀 서울 마포구,"월급 5,000,000원","3년 이상 - Javascript, JQuery 가능자 - Vue, React 등 자바스크립트 프레임웍 경험자 우대조건 - 유관업무 경험자 - 웹 개발... 프로그래밍, 웹개발기타: Vue, React 등 자바스크립트 프레임웍 경험자..."
2dbe4c7e2066d839,"css, 웹퍼블리셔(HTML코딩) 외 경력 정규직",에이피서비스 서울 강남구,"연봉 50,000,000원 - 60,000,000원","자격요건 담당업무 자격요건 인원 [담당업무] 웹퍼블리싱 및 UI개발(Html5,CSS,Javascript) - React,Vue 환경에서의 마크업에 대한 이해를 기반 - UI 구현 - 소스 버전관리 (SVN,GIT등) 경험을..."
771dd4e1a74cde31,[공통기술부문] 공통 플랫폼 개발자,우아한 형제들 서울 송파구,,"보신 분 - RDB 및 Elasticsearch, Redis 등 다양한 NoSQL 기술 경험이 있으신 분 - React를 이용한 Front-end 개발 경험이 있으신 분 - 우아한형제들의 다양한 서비스에서 활용할 새로운 가치..."
5bfcdbb81dd0d7be,[검색] 프론트엔드 엔지니어 (전문연구요원 가능),버즈니 서울,,"습니다 관련 업무 최소 5년 이상 혹은 그에 준하는 이력이 있으신 분 (전문연구요원의 경우 경력 무관) React 기반의 프로젝트 경험이 있으신 분 데이터 시각화 경험이 있으신 분 Javascript 및 HTML5, CSS3..."
d4e33cbc1b805c6e,(주) 랭킹피쉬 프론트엔드 개발자,랭킹피쉬 서울 성동구,"연봉 24,000,000원 - 40,000,000원","가능)ㆍHTML5, CSS, javascript 등 프론트엔드 웹 개발에 관련된 기본 지식을 보유하신 분ㆍ React 프레임워크를 활용한 개발 경험이 있는 분ㆍ다양한 포지션의 팀원들 사이 커뮤니케이션이 원활한 분우대사항ㆍ플랫폼..."
d4fedbedf819ba56,AI 인공지능 서비스 플랫폼 개발자,코그넷나인 서울 서초구,,"사용 경험자 음성인식 / 자연어 처리를 위한 Deep Learning 알고리즘에 대한 경험자 Vue, React 기반 웹서비스 개발 경험자 ▷전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합..."
fdd1ec500461c093,"프론트엔드, 백엔드 개발 경력 정규직",토이스미스 서울 강남구,,"레임워크 사용 능력 (jQuery, React, Vue, Angular 등... JAVA, TypeScript, Python 등) l Node & React 스택의 개발자 l Spring Framework 및 오픈소스 활용 경험..."
109be79a3d9a412a,웹 디자이너 / 서비스 엔지니어 ( PHP 및 웹서비스 개발자 ),에스비씨엔 서울 영등포구,,"경험 : PHP, JavaScript(ES5+), 모던 HTML 및 CSS. 우대사항 - 1년 이상의 React 경험자. - 웹서비스 런칭 및 유지보수 경험자 - 결제사 연동 및 SMS 서비스 연동 경험자 근무조..."
3b9719a191ef0273,UI마크업 개발자(),NHN SOFT 4.4 성남 판교역,,자 - 적극적이고 책임감 있는 자 - 다양한 디바이스 크로스 브라우징 기술력을 보유한 자 - vuejs/ react/bootstrap 등 최신 FE 환경에 대한 마크업 경험자 - javascript 활용 가능자 본...
2e4e6069ed2abe32,[2021?????] Web Frontend Software Engine...,Hyperconnect 서울,,"UI . flexibility .nbsp; TypeScript static typing , vue.js react.js . , jquery / javaScript . HakunaHakuna .2... nbsp..."
bb47929cc81c7bd7,[내일애-1차 스마트공장] (주)스페이스솔루션 웹개발자,스페이스솔루션 서울 금천구,,"표준 및 접근성(크로스 브라우징) 관련 이슈 대응 가능자 우대사항 • 웹 프론트엔드 개발 경력 1년 이상 • React, vue.js 개발 경험 • RESTful API 클라이언트 개발 경험이 있으신 분 • UI/UX 가이드..."
ac84c38e5a9d9cf1,프론트앤드 개발자,공공의주방 성남 분당구,,"CSS, Javascript(최소 ES5), React 기본 지식 보유... 기타: - HTML(5), CSS, Javascript(최소 ES5), React 기본 지식 보유 - Javascript MV* 프레임웍 기반 웹앱..."
a0ba1ca4652cda5b,고객센터 백엔드 개발,Nexon 성남 분당구,,"사항 - 글로벌 서비스에 대한 경험 - 대용량 트래픽 처리에 대한 경험 - Javascript 라이브러리( React, Vue.js 등)에 대한 경험 - node.js에 대한 개발경험 기타사항 - 업계 최고 수준의 연봉..."
92cb75f8d7457374,웹 서비스 엔지니어 ( 주식정보 제공 시스템 ),에스비씨엔 서울 영등포구,,"경험 : PHP, JavaScript(ES5+), 모던 HTML 및 CSS. 우대사항 - 1년 이상의 React 경험자. - 웹서비스 런칭 및 유지보수 경험자 근무조건 - 근무지: 여의도 - 근무시간: 09..."
5e4b8294f628f52f,(주)코디얼 서비스사업부,코디얼 서울,,"CSS,javascript(ES6 이상), React 기본 지식 보유... React 기본 지식 보유 - javascript MV* 프레임워크 지식 보유 [경력직 요건] - 협업 솔루션 개발 3년 이상 - React..."
59762449180ffb62,G마켓/옥션 Front-End 개발자,이베이 코리아 서울 강남구,,"개발자 - JavaScript(ES6 포함) 와 Markup(HTML,CSS) 에 대한 이해가 있는 분 - React(Redux, webpack)/ Vue 등으로 Frontend 개발 경험이 있는 분 - RESTful API..."
a3aa8c44baea64ca,배민커넥트 배달플랫폼 프론트엔드 개발자,우아한 형제들 서울 송파구,,링을 위한 실시간 관제 시스템 개발 및 운영 - 배민커넥트 라이더스앱( React-Native) 개발 및 운영 우아한형제들 프론트엔드 개발자 직무인... 및 운영 경험이 있으신 분 - React Native 개발 및 운영 경험이...
0ca5a9b1ac697fb3,카카오 댓글/투표/공감 웹 서비스 개발자 모집,카카오 4.0 성남 판교역,,"Docker, Kubernetes, RDBMS, NoSQL, Redis 을 사용하여 백엔드를 개발합니다. React, Vue.js 를 사용하여 프론트를 개발합니다. Kafka, Hadoop, Apache Druid..."
2829f87eb6e0371d,[TmaxBI/R&D] HyperData 제품군 웹 퍼블리셔 신입 및 경...,티맥스소프트 성남 분당구,,블리싱 자격요건 - [필수] React기반 웹 퍼블리싱 경험 - HTML5... 필수] React기반 웹 퍼블리싱 경험 - (신입/경력) 반응형 웹 구축 경험 선택 사항 - (신입/경력) [선택]모바일 React Native...
5123207a169f90eb,Lead AI Platform Developer,AITRICS 서울,,"HTML, Javascript(Typescript), CSS(Sass) Library/Framework : React(Next.js), Vue(Nuxt.js), Rx.js, D3(Observablehq), Jest..."
bb47929cc81c7bd7,[내일애-1차 스마트공장] (주)스페이스솔루션 웹개발자,스페이스솔루션 서울 금천구,,"표준 및 접근성(크로스 브라우징) 관련 이슈 대응 가능자 우대사항 • 웹 프론트엔드 개발 경력 1년 이상 • React, vue.js 개발 경험 • RESTful API 클라이언트 개발 경험이 있으신 분 • UI/UX 가이드..."
